Table 1
Row Labels,Count of #,,,,,,,,,,,,,,,,,,,,,,,
(blank),93,,,,,,,,,,,,,,,,,,,,,,,
1001001-1002000,97,,,,,,,,,,,,,,,,,,,,,,,
1002001-1003000,87,,,,,,,,,,,,,,,,,,,,,,,
1003001-1004000,67,,,,,,,,,,,,,,,,,,,,,,,
1004001-1005000,72,,,,,,,,,,,,,,,,,,,,,,,
1005001-1006000,29,,,,,,,,,,,,,,,,,,,,,,,
1006001-1007000,43,,,,,,,,,,,,,,,,,,,,,,,
1007001-1008000,19,,,,,,,,,,,,,,,,,,,,,,,
1008001-1009000,41,,,,,,,,,,,,,,,,,,,,,,,
1009001-1010000,23,,,,,,,,,,,,,,,,,,,,,,,
1010001-1011000,94,,,,,,,,,,,,,,,,,,,,,,,
1011001-1012000,36,,,,,,,,,,,,,,,,,,,,,,,
1012001-1013000,30,,,,,,,,,,,,,,,,,,,,,,,
1013001-1014000,26,,,,,,,,,,,,,,,,,,,,,,,
1014001-1015000,66,,,,,,,,,,,,,,,,,,,,,,,
1015001-1016000,46,,,,,,,,,,,,,,,,,,,,,,,
1016001-1017000,19,,,,,,,,,,,,,,,,,,,,,,,
1017001-1018000,18,,,,,,,,,,,,,,,,,,,,,,,
1018001-1019000,44,,,,,,,,,,,,,,,,,,,,,,,
1019001-1020000,46,,,,,,,,,,,,,,,,,,,,,,,
1020001-1021000,21,,,,,,,,,,,,,,,,,,,,,,,
1021001-1022000,26,,,,,,,,,,,,,,,,,,,,,,,
1022001-1023000,35,,,,,,,,,,,,,,,,,,,,,,,
1023001-1024000,14,,,,,,,,,,,,,,,,,,,,,,,
1024001-1025000,45,,,,,,,,,,,,,,,,,,,,,,,
1025001-1026000,55,,,,,,,,,,,,,,,,,,,,,,,
1026001-1027000,30,,,,,,,,,,,,,,,,,,,,,,,
1027001-1028000,41,,,,,,,,,,,,,,,,,,,,,,,
1028001-1029000,16,,,,,,,,,,,,,,,,,,,,,,,
1029001-1030000,21,,,,,,,,,,,,,,,,,,,,,,,
1030001-1031000,47,,,,,,,,,,,,,,,,,,,,,,,
1031001-1032000,51,,,,,,,,,,,,,,,,,,,,,,,
1032001-1033000,23,,,,,,,,,,,,,,,,,,,,,,,
1033001-1034000,13,,,,,,,,,,,,,,,,,,,,,,,
1034001-1035000,22,,,,,,,,,,,,,,,,,,,,,,,
1035001-1036000,20,,,,,,,,,,,,,,,,,,,,,,,
1036001-1037000,68,,,,,,,,,,,,,,,,,,,,,,,
1037001-1038000,32,,,,,,,,,,,,,,,,,,,,,,,
