Table 1
1,א,871,871,
872,ב,1340,468,
1341,ג,1667,326,
1668,ד,1886,218,
1887,ה,2050,163,
2051,ו,2060,9,
2061,ז,2242,181,
2243,ח,2867,624,
2868,ט,2967,99,
2968,י,3509,541,
3510,כ,3807,297,
3808,ל,3963,155,
3964,מ,4993,1029,
4994,נ,5428,434,
5429,ס,5644,215,
5645,ע,6283,638,
6284,פ,6626,342,
6627,צ,6891,264,
6892,ק,7199,307,
7200,ר,7578,378,
7579,ש,8371,792,
8372,ת,8674,302,
1,α,895,895,
896,β,1041,145,
1042,γ,1137,95,
1138,δ,1435,297,
1436,ε,2193,757,
2194,ζ,2227,33,
2228,η,2279,51,
2280,θ,2382,102,
2383,ι,2503,120,
2504,κ,2974,470,
2975,λ,3091,116,
3092,μ,3475,383,
3476,ν,3577,101,
3578,ξ,3587,9,
3588,ο,3801,213,
3802,π,4459,657,
4460,ρ,4517,57,
4518,σ,4998,480,
4999,τ,5190,191,
5191,υ,5313,122,
5314,φ,5462,148,
5463,χ,5566,103,
5567,ψ,5597,30,
5598,ω,5624,26,
