id,word,definition_gloss,frequency_rank,frequency_in_gnt,percent_of_gnt
1,"Ἀβραάμ, ὁ",Abraham,232,73,0.05
2,"ἀγαθός, -ή, -όν","good, useful, beneficial",134,125,0.09
3,ἀγαπάω,to love,118,143,0.10
4,"ἀγάπη, -ης, ἡ ",love,145,116,0.09
5,"ἀγαπητός, -ή, -όν ",beloved,263,61,0.04
6,"ἄγγελος, -ου, ὁ ","angel, messenger",90,175,0.13
7,"ἅγιος, -α, -ον ","holy, sacred; (pl subst) saints",67,233,0.2
8,ἄγω,"to lead, bring, go",240,69,0.05
9,"ἀδελφός, -οῦ, ὁ ",brother,50,343,0.2
10,"αἷμα, -τος, τό ",blood,176,97,0.07
11,αἴρω,"to take (up / away), raise",166,101,0.07
12,αἰτέω,"to ask, request",238,70,0.05
13,"αἰών, -ῶνος, ὁ ","an age, eternity",136,122,0.09
14,"αἰώνιος, -ον ",eternal,236,71,0.05
15,ἀκολουθέω,to follow,191,90,0.07
16,ἀκούω,to hear,42,428,0.3
17,"ἀλήθεια, -ας, ἡ ",truth,154,109,0.08
18,ἀλλά ,"but, except",29,638,0.5
19,"ἀλλήλων, -ους, -ους ",(reciprocal pronoun) of one another,169,100,0.07
20,"ἄλλος, -η, -ο ",(an)other,104,155,0.11
21,"ἁμαρτία, -ας, ἡ ","a sin, sin",92,173,0.13
22,ἀμήν ,"amen, truly",130,129,0.10
23,ἄν ,particle indicating contingency or uncertainty,94,166,0.12
24,ἀναβαίνω ,"to go up, ascend",205,82,0.06
25,"ἀνήρ, ἀνδρός, ὁ ","man, husband",73,216,0.2
26,"ἄνθρωπος, -ου, ὁ ","human being, person; (pl) humanity, people",33,550,0.4
27,ἀνίστημι,"to raise; appoint; (intran) rise, stand up, appear",158,108,0.08
28,ἀνοίγω,to open,218,77,0.06
29,ἀπέρχομαι,"to go away, depart",143,117,0.09
30,ἀπό,"(Gen) from, away from",28,646,0.5
31,ἀποθνῄσκω,to die,152,111,0.08
32,ἀποκρίνομαι,"to answer, reply",68,231,0.2
33,ἀποκτείνω,to kill,229,74,0.05
34,ἀπόλλυμι,to destroy; (mid) perish,192,90,0.07
35,ἀπολύω,"to release, set free, dismiss",248,66,0.05
36,ἀποστέλλω,to send (forth),128,132,0.10
37,"ἀπόστολος, -ου, ὁ ",apostle,211,80,0.06
38,"ἄρτος, -ου, ὁ ","bread, loaf",175,97,0.07
39,"ἀρχή, -ῆς, ἡ ","beginning, origin, ruler",289,55,0.04
40,"ἀρχιερεύς, -έως, ὁ ",high priest,137,122,0.09
41,ἄρχω ,to rule; (mid) begin,197,86,0.06
42,ἀσπάζομαι ,"to greet, welcome",274,59,0.04
43,"αὐτός, -ή, -ό ","(3rd person pronoun) he/she/it/they;  (intensive) himself, herself, itself; (identical) same",3,5597,4.1
44,ἀφίημι ,"to forgive, allow, leave, dismiss",117,143,0.10
45,βάλλω ,"to throw, cast, put",138,122,0.09
46,βαπτίζω ,to baptize,219,77,0.06
47,"βασιλεία, -ας, ἡ ","dominion, kingdom",97,162,0.12
48,"βασιλεύς, -έως, ὁ ",king,146,115,0.08
49,βλέπω ,to see,129,132,0.10
50,"Γαλιλαία, -ας, ἡ ",Galilee,265,61,0.04
51,γάρ ,for (postpositive particle),18,1041,0.8
52,γεννάω ,"to become parent of, beget, give birth to",178,97,0.07
53,"γῆ, γῆς, ἡ ","earth, land, ground",61,250,0.2
